claim_id,location,claim_type,value_paper,needs_block,digits
text_r4_ri_p,"Section 5.4, p. 148",pipeline,0.77,TRUE,2
text_turnout_pooled_direct,"Section 5.5, p. 148",pipeline,7.2,TRUE,1
text_turnout_pooled_direct_se,"Section 5.5, p. 148",pipeline,9.5,TRUE,1
text_turnout_no_effect,"Section 5.5, p. 148",descriptive,1,TRUE,0
text_pooled_direct,"Section 6, p. 148",pipeline,1.7,TRUE,1
text_pooled_direct_se,"Section 6, p. 148",pipeline,0.7,TRUE,1
text_pooled_indirect,"Section 6, p. 148",pipeline,1.5,TRUE,1
text_pooled_indirect_se,"Section 6, p. 148",pipeline,0.6,TRUE,1
text_pooled_just_over_one,"Section 6, p. 148",descriptive,1,TRUE,0
text_prior_diffuse_sd,"Section 6, p. 148",definitional,5,TRUE,0
text_prior_skeptic_sd,"Section 6, p. 148",definitional,1,TRUE,0
text_agnostic_pr,"Section 6, p. 148",pipeline,98.8,TRUE,1
text_optimist_pr,"Section 6, p. 148",pipeline,0.991,TRUE,3
text_skeptic_pr,"Section 6, p. 148",pipeline,0.966,TRUE,3
text_fn3_cost_direct,"Footnote 3, p. 149",pipeline,3.18,TRUE,2
text_fn3_ci_level,"Footnote 3, p. 149",definitional,95,TRUE,0
text_fn3_ci_low,"Footnote 3, p. 149",pipeline,1.70,TRUE,2
text_fn3_ci_high,"Footnote 3, p. 149",pipeline,13.71,TRUE,2
text_fn3_total_turnout,"Footnote 3, p. 149",pipeline,241613,TRUE,0
text_fn3_direct_points,"Footnote 3, p. 149",pipeline,1.7,TRUE,1
text_fn3_total_cost,"Footnote 3, p. 149",definitional,13045,TRUE,0
text_fn3_formula_cost,"Footnote 3, p. 149",definitional,13045,FALSE,0
text_fn3_formula_turnout,"Footnote 3, p. 149",definitional,241613,FALSE,0
text_fn3_formula_effect,"Footnote 3, p. 149",definitional,0.017,FALSE,3
text_fn3_formula_result,"Footnote 3, p. 149",definitional,3.18,FALSE,2
text_fn3_cost_total,"Footnote 3, p. 149",pipeline,1.69,TRUE,2
appa_e1_lamb_raised,Appendix A,transcribed,337939,FALSE,0
appa_e1_obama_share,Appendix A,transcribed,48.8,FALSE,1
appa_e1_hanna_share,Appendix A,transcribed,61,FALSE,0
appa_e1_hinchey_terms,Appendix A,transcribed,10,FALSE,0
appa_e1_lamb_staff_year,Appendix A,transcribed,1997,FALSE,0
appa_e2_primary_year,Appendix A,transcribed,2013,FALSE,0
appa_e2_last_republican_year,Appendix A,transcribed,1931,FALSE,0
appa_e2_jennings_term,Appendix A,transcribed,6,FALSE,0
appa_e2_sheehan_primary_share,Appendix A,transcribed,65,FALSE,0
appa_e2_sheehan_general_share,Appendix A,transcribed,80,FALSE,0
appa_e3_mcauliffe_share,Appendix A,transcribed,48,FALSE,0
appa_e3_cuccinelli_share,Appendix A,transcribed,45,FALSE,0
appa_e3_sarvis_share,Appendix A,transcribed,7,FALSE,0
appa_e3_spending_gap_millions,Appendix A,transcribed,15,FALSE,0
appa_e4_candidates,Appendix A,transcribed,4,FALSE,0
appa_e4_votes_per_ballot,Appendix A,transcribed,2,FALSE,0
appa_e4_top_vote_getters,Appendix A,transcribed,2,FALSE,0
appb_e1_treated_target,Appendix B,definitional,25,FALSE,0
appb_e1_signs_per_precinct,Appendix B,definitional,40,FALSE,0
appb_e1_untreatable,Appendix B,definitional,5,TRUE,0
appb_e1_adjacency_miles,Appendix B,definitional,0.5,FALSE,1
appb_e1_merged_precincts,Appendix B,definitional,4,FALSE,0
appb_e1_precinct_total,Appendix B,definitional,97,FALSE,0
appb_e2_treated_target,Appendix B,definitional,18,FALSE,0
appb_e2_draws,Appendix B,definitional,100000,FALSE,0
appb_e2_draws_restricted,Appendix B,definitional,100000,FALSE,0
appb_e2_t_ratio,Appendix B,definitional,1.0,FALSE,1
appb_e2_permutations,Appendix B,definitional,10000,TRUE,0
appb_e2_permutations_restated,Appendix B,definitional,10000,FALSE,0
appb_e3_treated,Appendix B,definitional,30,TRUE,0
appb_e3_precincts,Appendix B,definitional,131,TRUE,0
appb_e3_draws,Appendix B,definitional,100000,FALSE,0
appb_e3_permutations,Appendix B,definitional,10000,TRUE,0
appb_e3_t_ratio,Appendix B,definitional,1,FALSE,0
appb_e3_covariate_year,Appendix B,definitional,2012,FALSE,0
appb_e4_draws,Appendix B,definitional,100000,FALSE,0
appb_e4_treated,Appendix B,definitional,20,TRUE,0
appb_e4_precincts,Appendix B,definitional,88,TRUE,0
appb_e4_regressions,Appendix B,definitional,3,FALSE,0
appb_e4_conditions_per_regression,Appendix B,definitional,2,FALSE,0
appb_e4_joint_tests,Appendix B,definitional,3,FALSE,0
appb_e4_p_threshold,Appendix B,definitional,0.25,FALSE,2
appb_e4_permutations,Appendix B,definitional,10000,TRUE,0
appd_pooled_direct_interaction,Appendix D,pipeline,0.009,TRUE,3
appd_pooled_direct_interaction_se,Appendix D,pipeline,0.007,TRUE,3
appd_pooled_indirect_interaction,Appendix D,pipeline,0.007,TRUE,3
appd_pooled_indirect_interaction_se,Appendix D,pipeline,0.007,TRUE,3
appd_covariate_e1_year,Appendix D,definitional,2008,FALSE,0
appd_covariate_e2_year,Appendix D,definitional,2009,FALSE,0
appd_covariate_e3_year,Appendix D,definitional,2012,FALSE,0
appd_covariate_e4_year,Appendix D,definitional,2008,FALSE,0
appd_sd_increase,Appendix D,definitional,1,FALSE,0
appd_three_of_four_positive,Appendix D,descriptive,3,TRUE,0
appd_e4_negative_interactions,Appendix D,descriptive,1,TRUE,0
appd_no_precise_interactions,Appendix D,descriptive,1,TRUE,0
